objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M
ESO097-013,213.29129999999998,-65.339,3.3,Sb,435,1.94,8.70963704709875,12.01,64.3,,1.19E-4,213.291447,-65.339102,J141309.94-652020.7,213.291447,-65.339102,0.012,0.006,101,4.829,0.047,3.592,0.039,-0.565,0.012,-2.264,0.003,10.914,0.022,9.473,0.021,8.365,0.072,2132065201241016765,23.3,9.8,28.0,3.32,89.4,1.22,337.7,89.7,1,0,0.139,0.163,0.286,0.164,0h00,5,80nn,0,15,15,15,15,15,15,15,924035577,0.627
ESO116-012,48.2697,-57.35714,6.8,SBcd,1144,1.56,3.6307800693276415,13.04,82.8,,4.75E-4,48.270154,-57.356733,J031304.83-572124.2,48.270154,-57.356733,0.319,0.279,40,12.987,0.143,12.83,0.07,10.053,0.24,6.975,0.077,15.046,0.159,14.632,0.158,14.266,0.162,470057601241034416,7.6,0.416,15.4,0.875,4.5,0.454,14.0,2.05,3,1,0.002,0.0,0.0,0.0,hhhh,5,nnnn,0,0,26,10,28,0,28,6,648076989,1.688
ESO149-001,356.9529,-57.07261,8.0,SBd,1899,1.53,3.388441338170015,13.53,90.0,,0.001385,356.951869,-57.073877,J234748.44-570425.9,356.951869,-57.073877,0.129,0.125,132,13.89,0.029,13.771,0.041,10.548,0.069,7.559,0.113,,,,,,,3572057601241035561,37.0,21.1,26.2,4.2,15.8,1.39,9.6,1.23,2,0,0.0,0.0,0.0,0.0,h000,1,001n,0,13,13,13,13,12,13,3,0,
ESO149-013,0.6945,-52.77158,9.9,IB,1498,1.07,1.174897696838254,15.71,90.0,,0.001257,0.69271,-52.770941,J000246.25-524615.3,0.69271,-52.770941,0.279,0.263,154,15.375,0.05,15.15,0.109,12.375,,9.124,,,,,,,,53101241029639,21.9,2.59,10.0,1.18,1.0,0.88,-0.5,0.971,1,0,0.0,0.0,0.0,0.0,0000,0,11nn,0,11,11,7,11,0,11,0,0,
ESO157-047,69.8301,-54.21068,0.0,S0-a,1657,1.1,1.2589254809065389,15.46,90.0,,3.1E-4,69.829709,-54.21089,J043919.13-541239.2,69.829709,-54.21089,0.106,0.103,170,14.215,0.027,14.128,0.032,11.517,0.071,8.726,0.178,,,,,,,689054601241039559,40.3,8.94,34.1,1.95,15.4,1.0,6.1,0.992,1,0,0.0,0.0,0.0,0.002,h000,1,110n,0,66,66,59,66,5,63,3,0,
ESO157-049,69.9036,-53.01267,5.3,Sc,1673,1.24,1.7378008669100269,14.35,78.4,,4.36E-4,69.90396,-53.012292,J043936.95-530044.2,69.90396,-53.012292,0.03,0.029,137,11.257,0.023,11.067,0.021,7.276,0.014,5.365,0.031,14.912,0.188,13.87,0.212,13.09,0.116,690053101241019404,48.1,106.0,50.8,46.7,79.8,35.3,35.5,5.08,2,0,0.0,0.0,0.0,0.0,0000,5,9210,0,35,35,35,35,33,33,32,702887909,1.349
ESO209-009,119.56439999999999,-49.85424,6.2,SBc,1119,1.81,6.456541439665037,12.15,90.0,,8.56E-4,119.563493,-49.853615,J075815.23-495113.0,119.563493,-49.853615,0.057,0.054,99,10.208,0.026,9.944,0.021,6.177,0.014,4.281,0.021,13.192,,13.596,0.224,12.748,0.163,1184050001241019451,42.1,81.5,51.2,51.4,79.5,55.3,51.5,26.1,2,0,0.0,0.0,0.0,0.0,0000,3,9421,0,20,20,20,20,20,20,20,707904406,1.575
ESO240-004,351.9711,-51.13189,6.7,Scd,1576,1.25,1.778279410038923,15.69,90.0,,0.001047,351.970298,-51.130972,J232752.87-510751.4,351.970298,-51.130972,0.259,0.237,127,15.255,0.046,15.107,0.099,12.512,,8.788,,,,,,,,3528051501241024824,23.8,3.14,11.0,1.02,0.8,0.874,1.1,0.875,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,0,12,12,6,12,0,12,0,0,
ESO289-020,335.29875,-45.67673,4.6,Sc,933,1.1,1.2589254809065389,15.62,90.0,,7.42E-4,335.298392,-45.676031,J222111.61-454033.7,335.298392,-45.676031,0.196,0.182,128,14.767,0.036,14.861,0.086,12.749,,9.187,,,,,,,,3344045501241015232,29.9,4.86,12.6,1.1,-3.1,0.81,0.0,1.02,1,0,0.0,0.0,0.0,0.0,h000,1,00nn,0,13,13,10,13,0,13,0,0,
ESO358-006,51.82515,-34.52639,-3.8,E,1267,1.17,1.4791082420082973,13.95,90.0,,6.8E-5,51.825075,-34.526418,J032718.01-343135.1,51.825075,-34.526418,0.082,0.076,13,11.846,0.023,11.931,0.022,11.472,0.096,9.004,,14.663,0.165,14.004,0.206,13.867,0.186,511034901241035552,47.0,63.6,49.8,19.6,11.3,1.04,1.6,1.1,1,0,0.0,0.0,0.0,0.0,hh00,5,611n,0,34,34,34,34,9,32,0,179482877,0.068
ESO358-015,53.27805,-34.80702,8.7,SBm,1386,1.03,1.0715192346486087,15.17,39.9,,3.23E-4,53.27842,-34.806911,J033306.82-344824.8,53.27842,-34.806911,0.125,0.121,143,14.537,0.029,14.358,0.038,11.491,0.088,9.043,0.253,,,,,,,529034901241020612,37.0,8.45,28.3,1.71,12.3,1.06,4.3,1.01,1,0,0.0,0.0,0.0,0.0,0000,1,110n,11,45,45,40,45,4,43,1,0,
ESO358-016,53.28885,-35.71908,7.1,Scd,1698,1.05,1.1220183311090417,16.58,90.0,,0.001031,53.288429,-35.718107,J033309.22-354305.1,53.288429,-35.718107,0.317,0.288,130,16.381,0.055,15.946,0.111,13.151,,9.829,,,,,,,,540036401241044979,19.7,1.1,9.8,1.04,0.8,0.983,-0.8,1.01,1,0,0.0,0.0,0.0,0.0,0000,0,11nn,11,19,42,6,42,0,40,0,0,
ESO358-019,53.6286,-34.2975,-3.0,E-S0,1363,1.07,1.174897696838254,15.53,90.0,,1.4E-5,53.628583,-34.297502,J033430.86-341751.0,53.628583,-34.297502,0.112,0.109,155,14.014,0.026,14.108,0.036,13.123,,9.808,,16.446,0.226,14.59,,14.307,,529034901241037565,41.0,9.72,30.3,1.65,1.1,0.982,0.1,1.05,1,0,0.0,0.0,0.0,0.001,0000,5,21nn,11,47,47,39,47,0,46,0,179609606,0.322
ESO358-042,54.538199999999996,-34.51858,-2.2,S0,1162,1.09,1.2302688653672373,15.44,82.9,,1.21E-4,54.538107,-34.518674,J033809.14-343107.2,54.538107,-34.518674,0.11,0.106,173,13.885,0.027,13.882,0.035,12.538,0.241,9.802,,15.272,,15.721,0.206,14.69,,548034901241029725,41.0,12.7,31.4,1.88,4.5,0.953,-0.3,0.966,1,0,0.0,0.0,0.0,0.0,0000,5,00nn,11,39,39,38,39,2,38,0,179672695,0.612
ESO358-043,54.556799999999996,-33.12725,-3.0,E-S0,1381,1.12,1.3182567530303144,15.00,90.0,,3.14E-4,54.557122,-33.127089,J033813.70-330737.5,54.557122,-33.127089,0.091,0.088,8,12.918,0.024,12.956,0.026,12.384,0.197,9.386,,15.457,0.138,14.81,0.18,14.651,0.17,539033401241033791,44.5,32.9,42.3,5.86,5.5,0.924,1.1,0.943,1,0,0.0,0.0,0.0,0.0,0000,5,00nn,11,44,44,44,44,3,43,1,179674879,1.347
ESO358-050,55.265100000000004,-33.77946,-2.1,S0,1299,1.21,1.6218102398133032,13.76,90.0,,3.22E-4,55.26497,-33.779157,J034103.59-334644.9,55.26497,-33.779157,0.081,0.075,15,11.559,0.024,11.656,0.022,10.999,0.058,9.913,,14.405,0.158,13.921,0.252,13.45,0.144,557033401241011218,46.0,60.9,50.2,18.5,18.9,1.09,-1.1,1.07,1,0,0.0,0.0,0.0,0.0,0000,5,921n,11,48,48,48,48,19,46,0,179724373,0.382
ESO358-051,55.38585,-34.88838,0.3,S0-a,1713,1.15,1.4125374670774022,14.08,71.5,,8.9E-5,55.385818,-34.888465,J034132.59-345318.4,55.385818,-34.888465,0.066,0.065,0,12.279,0.024,12.207,0.022,8.658,0.018,6.394,0.037,15.341,0.165,13.612,,14.42,0.188,548034901241020407,46.2,56.3,49.5,15.4,61.1,8.99,29.4,2.4,1,0,0.0,0.0,0.0,0.0,0000,5,9211,11,46,46,46,46,46,46,34,190929708,0.391
ESO358-054,55.75965,-36.27269,7.9,SABd,892,1.22,1.6595870167669808,13.95,48.0,,5.64E-4,55.758957,-36.272765,J034302.14-361621.9,55.758957,-36.272765,0.133,0.13,130,14.749,0.03,14.6,0.043,11.818,0.117,9.296,0.327,,,,,,,559036401241024017,36.4,7.29,25.3,1.49,9.3,1.06,3.3,1.0,1,0,0.0,0.0,0.0,0.0,0000,1,110n,11,42,42,31,42,6,42,0,0,
ESO358-056,55.84425,-33.94002,-2.2,S0,1105,1.15,1.4125374670774022,15.38,90.0,,8.85E-4,55.844254,-33.940905,J034322.62-335627.2,55.844254,-33.940905,0.155,0.131,92,14.211,0.031,14.132,0.04,13.22,0.472,9.467,,16.496,0.211,14.486,,14.231,,557033401241003837,34.7,4.51,27.0,1.27,2.3,0.96,-0.7,1.03,3,1,0.0,0.0,0.0,0.0,0000,5,nnnn,11,42,43,41,43,0,40,0,190962022,1.915
ESO358-059,56.265,-35.9727,-3.3,E-S0,1041,1.14,1.3803842191347617,14.01,42.1,,8.1E-5,56.264928,-35.972644,J034503.58-355821.5,56.264928,-35.972644,0.073,0.069,10,11.158,0.021,11.26,0.02,10.975,0.06,9.397,0.351,13.482,0.096,12.881,0.101,12.452,0.078,559036401241033244,50.5,37.0,54.5,12.8,18.1,1.08,3.1,1.09,1,0,0.0,0.0,0.0,0.001,0000,5,900n,11,46,46,46,46,18,45,1,620025573,0.088
ESO358-060,56.301300000000005,-35.57055,9.8,IB,803,1.21,1.6218102398133032,15.76,90.0,,0.001124,56.301952,-35.571541,J034512.46-353417.5,56.301952,-35.571541,0.342,0.315,127,16.522,0.057,16.399,0.154,12.989,,9.459,,,,,,,,566034901241006226,19.0,1.01,7.0,0.871,1.3,1.03,0.8,1.09,1,0,0.0,0.0,0.0,0.0,0000,0,0nnn,11,15,49,3,49,1,47,0,0,
ESO358-063,56.5791,-34.94359,6.9,Scd,1930,1.63,4.265795141179281,12.61,75.6,,2.58E-4,56.578981,-34.943351,J034618.95-345636.0,56.578981,-34.943351,0.055,0.054,6,10.619,0.023,10.467,0.021,6.513,0.014,4.676,0.025,14.339,0.172,13.555,0.219,12.933,0.122,566034901241022805,48.0,93.6,52.9,45.2,76.9,48.4,44.2,17.7,1,0,0.0,0.0,0.0,0.001,0000,5,9599,11,42,42,42,42,40,40,40,191003682,0.719
ESO358-066,56.96939999999999,-36.47167,-3.8,E,1493,1.04,1.0964780998322172,15.15,90.0,,1.82E-4,56.969605,-36.471593,J034752.70-362817.7,56.969605,-36.471593,0.129,0.126,158,14.577,0.029,14.579,0.043,13.518,,9.876,,,,,,,,578036401241026058,38.1,8.39,25.2,1.47,-0.3,0.985,-0.4,1.09,1,0,0.0,0.0,0.0,0.0,0000,5,00nn,11,46,46,34,46,0,44,0,0,
ESO359-002,57.65295,-35.90937,-3.4,E-S0,1430,1.1,1.2589254809065389,14.23,65.3,,1.8E-4,57.652966,-35.90955,J035036.71-355434.3,57.652966,-35.90955,0.093,0.089,18,12.46,0.025,12.432,0.032,10.34,0.042,8.383,0.15,15.321,0.195,14.695,0.246,14.376,0.195,578036401241031706,43.8,42.7,33.5,8.72,26.1,1.21,7.2,0.987,1,0,0.0,0.0,0.0,0.0,0000,5,500n,11,37,37,36,36,31,36,3,566008224,1.016
ESO373-008,143.33955,-33.03346,6.1,Sc,925,1.57,3.7153527396948913,12.71,78.6,,6.08E-4,143.338901,-33.033732,J093321.33-330201.4,143.338901,-33.033732,0.063,0.061,96,11.599,0.023,11.398,0.022,7.604,0.017,5.497,0.031,16.281,0.26,13.673,,14.734,0.232,1439033401241029974,46.7,90.7,49.1,40.9,65.4,31.7,34.6,8.94,1,0,0.0,0.0,0.0,0.0,0000,5,4030,0,13,13,13,13,12,12,12,311277434,2.097
ESO377-039,169.84035,-36.59571,3.3,Sb,2833,1.03,1.0715192346486087,15.78,70.4,,3.59E-4,169.840796,-36.595731,J111921.79-363544.6,169.840796,-36.595731,0.126,0.122,95,14.017,0.028,13.845,0.041,10.9,0.104,8.4,0.286,16.41,0.187,14.954,,14.701,,1697036401241013476,39.1,12.8,26.5,2.24,10.5,1.02,3.8,0.976,1,0,0.0,0.0,0.0,0.0,0000,5,000n,11,14,14,14,14,7,13,0,367450785,0.842
ESO406-031,344.41995000000003,-35.39701,2.2,Sab,1585,1.17,1.4791082420082973,15.14,90.0,,5.24E-4,344.419721,-35.3975,J225740.73-352350.9,344.419721,-35.3975,0.086,0.084,39,12.286,0.024,12.308,0.026,9.609,0.036,8.108,0.195,14.192,,13.363,,14.099,0.154,3435034901241000020,45.2,51.7,42.2,12.8,30.0,2.29,5.6,1.01,1,0,0.0,0.0,0.0,0.0,0000,5,411n,0,15,15,15,15,14,14,2,61914221,0.454
ESO407-002,346.1727,-34.05781,-0.5,S0-a,1703,1.04,1.0964780998322172,14.16,57.6,,5.6E-5,346.172751,-34.057773,J230441.46-340327.9,346.172751,-34.057773,0.067,0.067,135,11.016,0.024,11.045,0.022,8.13,0.018,6.377,0.055,13.914,0.163,13.259,0.195,12.674,0.105,3455033401241000007,46.1,63.7,50.1,27.7,60.6,14.6,19.7,1.38,1,0,0.0,0.0,0.0,0.0,0000,5,6111,0,15,15,15,15,15,15,14,50330926,0.258
ESO407-018,351.61605,-32.38858,9.8,IB,62,1.13,1.348962867780606,14.04,37.4,,0.004509,351.618537,-32.38459,J232628.44-322304.5,351.618537,-32.38459,0.173,0.165,133,14.725,0.035,14.525,0.06,12.831,,9.024,,16.228,0.15,15.817,0.186,14.65,,3511031901241001705,31.3,3.07,18.0,1.2,0.1,1.02,0.7,0.993,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,11,16,16,15,16,0,16,1,184397684,0.427
ESO410-005,3.8802000000000003,-32.18061,0.4,S0-a,36,1.11,1.288249594126457,14.93,51.8,,4.19E-4,3.879842,-32.1809,J001531.16-321051.2,3.879842,-32.1809,0.229,0.21,135,15.1,0.043,14.802,0.077,11.865,0.222,9.16,,,,,,,,35031901241014250,25.0,3.94,14.1,1.4,4.9,1.06,0.0,1.08,1,0,0.0,0.0,0.0,0.0,h0H0,1,21nn,0,13,13,9,13,0,13,0,0,
ESO410-018,8.54625,-30.77392,8.9,SABm,1584,1.19,1.5488168229767911,14.14,32.3,,3.07E-4,8.546349,-30.774215,J003411.12-304627.1,8.546349,-30.774215,0.218,0.201,139,15.045,0.04,14.867,0.083,11.37,0.152,8.372,0.252,,,,,,,86030301241003529,27.1,5.52,13.0,1.59,7.1,0.91,4.3,0.964,1,0,0.0,0.0,0.0,0.003,0000,1,00nn,0,12,12,8,12,1,11,0,0,
ESO411-013,11.77665,-31.58135,9.0,SBm,1760,1.09,1.2302688653672373,15.85,90.0,,2.44E-4,11.776618,-31.581108,J004706.38-313451.9,11.776618,-31.581108,0.279,0.26,141,15.356,0.047,15.519,0.145,12.462,,8.568,,,,,,,,123031901241023572,23.0,2.86,7.5,0.867,0.7,0.983,1.3,0.943,1,0,0.0,0.0,0.0,0.0,0000,0,0nnn,0,12,12,2,12,0,12,0,0,
ESO411-016,11.91495,-27.94758,1.8,Sab,1768,1.01,1.0232929698100972,15.25,68.5,,3.94E-4,11.914602,-27.947333,J004739.50-275650.4,11.914602,-27.947333,0.122,0.117,86,13.72,0.028,13.632,0.038,11.054,0.103,8.634,0.306,15.263,,14.591,,15.123,0.193,118027301241003499,38.1,14.2,28.3,2.33,10.6,0.916,3.5,1.18,1,0,0.0,0.0,0.0,0.0,0000,1,001n,0,15,15,15,15,4,15,1,521633957,1.353
ESO411-026,13.18965,-31.71818,9.0,SBm,1608,1.06,1.14815347022194,15.85,78.5,,9.0E-4,13.189893,-31.717304,J005245.57-314302.2,13.189893,-31.717304,0.204,0.189,125,15.02,0.039,14.946,0.079,12.95,0.537,9.122,,,,,,,,123031901241015688,27.9,3.82,13.7,1.08,2.0,1.12,0.4,0.89,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,0,16,16,11,16,0,16,0,0,
ESO411-027,13.215,-27.32558,5.7,Sc,1816,1.1,1.2589254809065389,16.02,77.5,,0.003375,13.218611,-27.326628,J005252.46-271935.8,13.218611,-27.326628,0.173,0.159,130,14.789,0.036,14.389,0.054,10.855,0.091,8.826,,,,,,,,135027301241021712,30.0,2.73,19.9,1.27,11.9,1.08,1.0,0.982,1,0,0.0,0.0,0.0,0.0,0000,0,111n,0,15,15,15,15,8,15,0,0,
ESO428-014,109.12995000000001,-29.32481,-1.8,S0,1707,1.3,1.9952620958974432,13.29,62.1,,1.57E-4,109.130024,-29.324667,J071631.20-291928.7,109.130024,-29.324667,0.052,0.048,125,9.305,0.024,8.721,0.02,4.72,0.015,1.845,0.014,11.899,0.079,11.129,0.099,10.68,0.065,1097028801241009666,46.1,26.4,54.7,8.41,74.1,4.43,76.5,0.769,1,0,0.0,0.0,0.0,0.0,0000,5,9110,0,16,16,16,16,15,15,15,238516463,0.242
ESO434-040,146.91765,-30.94863,-1.3,S0-a,2466,1.03,1.0715192346486087,14.06,65.2,,4.24E-4,146.917251,-30.94888,J094740.14-305655.9,146.917251,-30.94888,0.051,0.041,119,8.571,0.022,7.552,0.02,4.249,0.014,1.642,0.01,12.086,0.073,11.249,0.069,10.344,0.049,1460030301241000002,49.8,16.4,54.6,2.03,76.9,3.12,107.8,1.46,1,0,0.0,0.0,0.0,0.0,0000,5,4001,0,15,15,15,15,15,15,15,415444362,0.053
ESO471-006,355.9431,-31.95695,8.6,SBm,269,1.56,3.6307800693276415,13.60,90.0,,9.83E-4,355.942052,-31.956531,J234346.09-315723.5,355.942052,-31.956531,0.24,0.222,132,15.203,0.044,14.892,0.093,12.093,,8.65,,,,,,,,3564031901241021176,24.6,4.07,11.7,1.21,0.7,0.977,0.7,0.929,1,0,0.0,0.0,0.0,0.0,0000,2,21nn,88,16,16,9,16,0,7,0,0,
ESO491-020,107.44515,-27.56889,3.0,SBb,2876,1.12,1.3182567530303144,13.83,46.6,,6.7E-5,107.445226,-27.568889,J070946.85-273408.0,107.445226,-27.568889,0.049,0.043,134,9.816,0.022,9.295,0.021,4.65,0.015,1.662,0.011,12.578,0.061,11.805,0.065,11.205,0.053,1081027301241011445,49.5,17.3,52.0,8.7,73.2,4.94,100.2,5.49,1,0,0.0,0.0,0.0,0.0,dd00,5,1100,0,14,14,14,14,14,14,14,238151930,0.116
ESO491-021,107.45805,-27.57488,2.1,SBab,2847,1.22,1.6595870167669808,13.65,79.0,,3.6E-5,107.45803,-27.574911,J070949.92-273429.6,107.45803,-27.574911,0.051,0.048,138,10.968,0.021,10.699,0.021,6.433,0.013,3.824,0.017,14.055,0.127,13.318,0.116,12.94,0.116,1081027301241011479,51.0,66.0,50.7,28.0,81.1,31.8,64.3,22.2,1,0,0.0,0.0,0.0,0.0,ddhd,5,9049,0,14,14,14,14,14,14,14,238151886,1.28
ESO493-016,117.18255,-26.24659,4.0,Sbc,2647,1.0,1.0,16.91,83.1,,1.27E-4,117.182636,-26.246489,J074843.83-261447.3,117.182636,-26.246489,0.045,0.044,142,9.573,0.022,9.216,0.02,4.77,0.014,2.138,0.012,13.343,0.117,12.331,0.154,11.668,0.1,1166025801241002481,48.6,74.4,54.5,51.5,76.7,51.6,90.0,53.1,1,0,0.0,0.0,0.0,0.0,0000,5,9199,0,27,27,27,27,26,26,26,264119709,0.652
ESO495-021,129.0633,-26.40933,-2.6,E-S0,859,1.3,1.9952620958974432,12.46,54.4,,1.75E-4,129.063361,-26.409496,J083615.20-262434.1,129.063361,-26.409496,0.044,0.043,83,9.144,0.022,8.722,0.02,3.791,0.013,0.482,0.01,12.059,0.101,11.41,0.129,10.663,0.061,1283025801241000006,49.6,40.4,53.3,23.6,80.6,19.7,113.1,2.42,1,0,0.0,0.0,0.0,0.0,0000,5,1180,0,14,14,14,14,13,13,13,714995203,0.562
ESO549-035,58.76625,-20.38338,6.0,Sc,1817,1.01,1.0232929698100972,15.43,45.9,,0.00223,58.765333,-20.385438,J035503.67-202307.5,58.765333,-20.385438,0.45,0.422,118,15.814,0.09,15.773,0.153,12.828,0.481,8.97,,,,,,,,592019701241006221,12.1,2.59,7.1,0.926,2.3,1.15,0.6,1.1,2,0,0.0,0.0,0.0,0.0,0000,0,0nnn,0,8,16,1,15,0,15,0,0,
ESO560-004,114.75195,-22.04626,4.2,Sbc,2183,1.14,1.3803842191347617,15.40,87.4,,1.06E-4,114.751975,-22.046157,J073900.47-220246.1,114.751975,-22.046157,0.051,0.05,166,9.801,0.021,9.577,0.019,6.197,0.014,4.125,0.018,13.329,0.128,12.234,0.149,11.446,0.075,1140022801241048808,52.3,75.5,56.2,42.5,76.2,33.5,59.7,15.1,1,0,0.0,0.0,0.0,0.0,0000,5,7915,0,14,14,13,14,14,14,14,1268341390,0.375
ESO603-031,344.3601,-17.88565,1.0,Sa,2266,1.05,1.1220183311090417,14.90,63.4,,1.04E-4,344.360184,-17.885583,J225726.44-175308.0,344.360184,-17.885583,0.098,0.095,124,12.831,0.026,12.804,0.029,9.633,0.041,7.104,0.084,15.748,0.222,14.865,0.172,13.647,,3441018201241026559,41.0,30.7,37.5,6.45,26.7,2.51,12.9,1.61,1,0,0.0,0.0,0.0,0.0,0000,5,1111,87,13,13,13,13,13,13,11,631323660,0.254
IC0010,5.0962499999999995,59.2931,9.9,IB,-345,1.82,6.606935278031127,11.78,31.1,,0.002591,5.101157,59.292439,J002024.27+591732.7,5.101157,59.292439,0.183,0.166,143,12.615,0.054,12.401,0.06,8.55,0.045,5.856,0.062,16.675,0.189,15.467,0.15,14.851,0.152,57159001241036030,20.3,11.9,18.0,5.05,24.2,5.62,17.6,7.01,3,0,0.0,0.0,0.0,0.0,dddH,3,999n,11,25,37,12,37,18,36,9,1177440277,1.175
IC0335,53.87895,-34.44708,-2.1,S0,1636,1.42,2.630267731982223,12.99,90.0,,4.25E-4,53.879462,-34.447029,J033531.07-342649.3,53.879462,-34.447029,0.073,0.069,11,10.459,0.023,10.532,0.02,10.025,0.032,8.555,0.187,13.247,0.143,12.612,0.189,11.92,0.092,529034901241035720,47.4,83.5,53.3,43.7,34.4,1.6,5.8,1.05,1,0,0.0,0.0,0.0,0.0,0000,5,981n,11,46,46,46,46,42,45,3,179629119,0.363
IC0342,56.7054,68.10139,6.0,SABc,25,2.3,19.952620958974435,9.67,18.5,,0.003047,56.713364,68.102069,J034651.20+680607.4,56.713364,68.102069,0.089,0.085,130,11.151,0.032,10.697,0.026,6.536,0.023,4.071,0.044,13.818,0.027,13.087,0.029,12.969,0.026,553168101241020797,34.4,41.3,41.4,28.5,47.2,28.8,24.6,101.0,1,0,0.0,0.0,0.0,0.0,dhdH,3,999n,11,11,11,11,11,11,11,10,533604007,2.85
IC0610,156.6183,20.22826,3.8,Sbc,1171,1.28,1.9054605924362857,14.63,90.0,,3.43E-4,156.618143,20.22795,J102628.35+201340.6,156.618143,20.22795,0.058,0.057,94,10.73,0.021,10.5,0.02,7.319,0.016,5.176,0.031,13.538,0.062,12.186,,11.798,,1568119601241032312,51.1,82.6,54.8,35.6,67.9,18.4,34.7,3.36,1,0,0.0,0.0,0.0,0.0,0000,5,9030,87,13,13,13,13,13,13,13,194921297,1.023
IC0691,171.6846,59.15548,0.0,E?,1201,1.06,1.14815347022194,12.78,56.3,,1.35E-4,171.684474,59.155598,J112644.27+590920.1,171.684474,59.155598,0.051,0.048,96,10.398,0.022,9.749,0.02,5.86,0.014,3.107,0.016,13.268,0.066,12.58,0.079,11.877,0.053,1728159001241023337,49.5,10.7,53.4,3.97,75.4,6.0,66.4,1.96,1,0,0.0,0.0,0.0,0.0,0000,5,1110,0,17,17,17,17,17,17,17,1013124975,0.416
IC0755,180.29355,14.10398,3.5,SBbc,1532,1.17,1.4791082420082973,14.25,90.0,,2.51E-4,180.293624,14.104221,J120110.46+140615.1,180.293624,14.104221,0.078,0.075,94,12.381,0.025,12.318,0.026,8.862,0.026,5.904,0.043,15.153,0.092,13.5,,13.292,,1800113601241031911,43.9,39.6,42.2,11.0,42.1,4.83,25.1,1.97,1,0,0.0,0.0,0.0,0.0,0000,5,4111,0,13,13,13,13,13,13,13,152535841,1.885
IC0781,185.0136,14.9615,-3.6,E,1356,1.11,1.288249594126457,14.42,21.8,,2.34E-4,185.013819,14.961601,J122003.31+145741.7,185.013819,14.961601,0.088,0.084,144,12.214,0.023,12.315,0.025,11.875,0.255,8.939,,14.685,0.106,14.128,0.109,13.754,0.1,1846115101241012283,47.1,45.2,43.8,9.43,4.3,0.812,0.5,1.09,1,0,0.0,0.0,0.0,0.0,0000,5,12nn,111,12,12,12,12,0,12,0,241114933,0.532
IC0782,185.40404999999998,5.76573,2.1,SBab,2425,1.06,1.14815347022194,14.50,59.7,,1.22E-4,185.404083,5.765848,J122136.97+054557.0,185.404083,5.765848,0.044,0.043,170,11.775,0.025,11.848,0.025,11.283,0.177,8.428,,14.034,0.093,13.471,0.095,13.153,0.101,1853106001241010307,44.2,35.6,44.0,9.96,6.1,0.842,1.6,0.959,1,0,0.0,0.0,0.0,0.0,0000,5,10nn,-18,23,23,12,12,2,10,1,855454235,0.293
IC0783,185.41155,15.74513,-0.2,S0-a,1269,1.09,1.2302688653672373,14.73,25.7,,1.99E-4,185.411599,15.745323,J122138.78+154443.1,185.411599,15.745323,0.108,0.106,122,13.229,0.026,13.247,0.032,12.291,0.331,9.221,,15.947,0.151,15.407,0.172,15.106,0.179,1846115101241030385,41.4,28.1,33.8,4.85,3.3,0.921,0.0,0.968,1,0,0.0,0.0,0.0,0.0,0000,5,00nn,111,15,15,15,15,0,15,0,1053243684,0.702
IC0794,187.03574999999998,12.0933,-4.1,E,1922,1.12,1.3182567530303144,14.14,63.2,,2.04E-4,187.035955,12.09334,J122808.62+120536.0,187.035955,12.09334,0.089,0.085,163,12.201,0.023,12.363,0.026,11.776,0.227,9.162,,14.853,0.147,14.093,0.176,13.984,0.174,1869112101241018184,46.9,38.0,42.3,8.88,4.8,0.992,-0.3,0.908,1,0,0.0,0.0,0.0,0.0,0000,5,02nn,-23,14,14,14,14,0,12,0,864674392,0.557
IC0797,187.97835,15.12369,6.0,Sc,2096,1.04,1.0964780998322172,13.67,48.0,,5.58E-4,187.978196,15.124228,J123154.76+150727.2,187.978196,15.124228,0.08,0.078,99,12.538,0.026,12.481,0.026,8.531,0.023,6.282,0.049,15.768,0.153,15.138,0.181,13.677,,1878115101241019182,42.5,54.8,41.0,14.0,47.1,10.8,22.3,3.36,1,0,0.0,0.0,0.0,0.0,0000,5,2110,22,13,13,13,13,13,13,12,153157029,0.583
IC0800,188.48624999999998,15.35462,5.2,Sc,2332,1.18,1.5135610656352623,14.14,44.1,,3.77E-4,188.486476,15.354312,J123356.75+152115.5,188.486476,15.354312,0.091,0.087,87,12.995,0.027,12.915,0.03,8.861,0.025,6.666,0.066,16.11,0.148,15.572,0.206,14.065,,1878115101241029785,40.7,35.8,36.8,8.08,42.9,6.52,16.5,2.03,1,0,0.0,0.0,0.0,0.0,0000,5,1011,22,14,14,14,14,14,14,12,153194819,2.395
